,concept,pages,level
194,as notations for ordered ntuples,275,1
195,convention,36,1
196,elementary column operations,149,1
197,equal,21,1
198,leading column,120,1
199,shape of matrix,35,1
200,Smith normal form,99,1
201,transpose,42,1
202,commutative law,38,1
203,commute,"69, 72",1
204,companion matrix,157,1
205,compatibility rule,68,1
206,blocks,74,1
207,for multiplication,68,1
208,complement,528,1
209,completely diagonalized,494,1
210,complex conjugation,307,1
211,complex distance formula,600,1
212,complex eigenvalues,"306, 444",1
213,complex matrix Cayley-Hamilton theorem,469,1
214,characteristic polynomial,465,1
215,conjugate,461,1
216,conjugate transpose,463,1
217,deﬁned,461,1
218,eigenvalues,465,1
219,eigenvector,465,1
220,hermitian matrix,464,1
221,normal,469,1
222,Schur’s theorem,"467, 468",1
223,skew-hermitian,471,1
224,spectral theorem,468,1
225,standard inner product,462,1
226,unitarily diagonalizable,467,1
227,unitary diagonalization,467,1
228,unitary matrix,466,1
229,upper triangular matrix,467,1
230,"complex number, absolute value","403, 598, 599",2
231,"complex number, addition",597,2
232,"complex number, advantage of working with",465,2
233,"complex number, conjugate",599,2
234,"complex number, equal",597,2
235,"complex number, extension of concepts to",461,2
236,"complex number, form",597,2
237,"complex number, fundamental theorem of algebra",597,2
238,"complex number, imaginary axis",600,2
239,"complex number, imaginary part",597,2
240,"complex number, imaginary unit",597,2
241,"complex number, in complex plane",600,2
242,"complex number, inverse",598,2
243,"complex number, modulus",599,2
244,"complex number, multiplication",597,2
245,"complex number, parallelogram law",601,2
246,"complex number, polar form",601,2
247,"complex number, product",600,2
248,"complex number, pure imaginary numbers",597,2
249,"complex number, real axis",600,2
250,"complex number, real part",597,2
251,"complex number, regular representation",600,2
252,"complex number, root of the quadratic",609,2
253,"complex number, roots of unity",604,2
254,"complex number, scalars",474,2
255,"complex number, subtraction",597,2
256,"complex number, sum",601,2
257,"complex number, triangle inequality",599,2
258,complex plane,600,1
259,complex subspace,470,1
260,composite,"65, 108, 396",1
261,composition,"65, 396, 507",1
262,computer graphics,258,1
263,conclusion,611,1
264,congruence,493,1
265,congruent matrices,493,1
266,conic graph,"21, 491",1
267,conjugate,"461, 599",1
268,conjugate matrix,307,1
269,conjugate transpose,463,1
270,consistent system,"1, 17",1
271,constant,"353, 623",1
272,constant matrix,4,1
273,constant sequences,406,1
274,constant term,1,1
275,constrained optimization,497,1
276,continuous functions,538,1
277,contraction,63,1
278,"contradiction, proof by",613,1
279,convergence,443,1
280,converges,139,1
281,converse,614,1
282,coordinate isomorphism,395,1
283,coordinate transformation,504,1
284,coordinate vectors,"215, 236, 256, 268, 504",1
