,concept,pages,level
846,matrix transformation induced,"59, 250",1
847,another perspective on,104,1
848,nullity,383,1
849,nullspace,382,1
850,of areas,255,1
851,of volume,255,1
852,one-to-one transformations,384,1
853,onto transformations,384,1
854,projections,"114, 251",1
855,properties,377,1
856,range,382,1
857,rank,383,1
858,reﬂections,"113, 251",1
859,rotations,"111, 254",1
860,scalar multiple law,110,1
861,scalar operator,376,1
862,zero transformation,"60, 376",1
863,linearly dependent,"273, 345, 358",1
864,linearly independent,"271, 345, 354",1
865,logically equivalent,615,1
866,lower reduced,119,1
867,lower triangular matrix,"118, 154",1
868,LU-algorithm,"121, 125",1
869,LU-factorization,120,1
870,magnitude,211,1
871,main diagonal,"43, 118",1
872,Markov chains,134,1
873,"Markov, Andrei Andreyevich",134,1
874,mathematical induction,"105, 618",1
875,mathematical statistics,322,1
876,matrices,35,1
877,matrix,35,1
878,"(i, j)-entry",35,1
879,adjacency matrix,75,1
880,augmented matrix,"3, 4, 14",1
881,block matrix,73,1
882,change matrix,513,1
883,coefﬁcient matrix,"4, 163",1
884,column matrix,35,1
885,companion matrix,157,1
886,congruent matrices,493,1
887,conjugate matrix,307,1
888,constant matrix,4,1
889,covariance matrix,501,1
890,deﬁned,"3, 35",1
891,demand matrix,131,1
892,diagonal matrices,"45, 79, 172, 178, 516",1
893,diagonalizable matrix,178,1
894,diagonalizing matrix,178,1
895,doubly stochastic matrix,142,1
896,elementary matrix,95,1
897,elementary row operations,5,1
898,entries of the matrix,"35, 36",1
899,equal matrices,36,1
900,equivalent matrices,103,1
901,Gram,446,1
902,hermitian matrix,464,1
903,Householder matrices,444,1
904,identity matrix,"52, 56",1
905,input-output matrix,130,1
906,invertible matrix,80,1
907,association with,503,1
908,lower triangular matrix,"118, 154",1
909,migration,184,1
910,Moore-Penrose inverse,457,1
911,nilpotent matrix,190,1
912,orthogonal matrix,"160, 424",1
913,orthonormal matrix,424,1
914,over ﬁnite ﬁeld,482,1
915,parity-check matrices,482,1
916,partitioned into blocks,73,1
917,permutation matrix,"123, 432, 521",1
918,polar decomposition,455,1
919,positive,455,1
920,positive semi-deﬁnite,455,1
921,projection matrix,"63, 432",1
922,pseudoinverse,457,1
923,rank,"16, 291",1
924,reduced row-echelon matrix,"10, 100",1
925,regular stochastic matrix,139,1
926,row matrix,35,1
927,row-echelon matrix,"10, 290",1
928,row-equivalent,103,1
929,shapes,35,1
930,similar matrices,298,1
931,singular matrix,448,1
932,spectrum,426,1
933,standard generator,482,1
934,standard matrix,513,1
935,stochastic matrices,"130, 136",1
936,submatrix,298,1
937,subtracting,38,1
938,systemic generator,482,1
939,transition matrix,135,1
940,transpose,42,1
941,triangular matrices,"118, 154",1
942,unitary matrix,466,1
943,upper triangular matrix,"118, 154, 467",1
944,Vandermonde matrix,153,1
945,zero matrix,38,1
946,"zeros, creating in matrix",149,1
947,matrix addition,37,1
948,"matrix algebra, dot product",54,2
949,"matrix algebra, elementary matrix",95,2
950,"matrix algebra, application to",128,2
951,"matrix algebra, inverses",80,2
952,"matrix algebra, LU-factorization",121,2
953,"matrix algebra, Markov chains application to",134,2
954,"matrix algebra, matrices as entities",39,2
955,"matrix algebra, matrix addition",37,2
956,"matrix algebra, matrix multiplication",64,2
957,"matrix algebra, matrix subtraction",38,2
958,"matrix algebra, matrix-vector multiplication","49, 64",2
959,"matrix algebra, numerical division",80,2
960,"matrix algebra, scalar multiplication",39,2
961,"matrix algebra, size of matrices",35,2
962,"matrix algebra, transformations",58,2
963,"matrix algebra, transpose of a matrix",42,2
964,usefulness of matrix algebra,35,2
965,"matrix form, deﬁned",50,2
966,"matrix form, reduced row-echelon form","10, 11, 100",2
967,"matrix form, row-echelon form","10, 11",2
968,"matrix form, upper Hessenberg form",444,2
969,matrix generators,481,1
970,matrix inversion algorithm,"83, 98",1
971,"matrix multiplication, and composition of transformations",65,2
972,"matrix multiplication, associative law",71,2
973,"matrix multiplication, block",73,2
974,commute,"69, 72",1
975,compatibility rule,68,1
976,deﬁnition,66,1
977,directed graphs,75,1
978,distributive laws,71,1
979,dot product rule,67,1
980,left-multiplication,87,1
981,matrix of composite of two linear transformations,108,1
982,matrix products,66,1
983,non-commutative,87,1
984,order of the factors,71,1
985,results of,67,1
986,right-multiplication,87,1
987,matrix of T corresponding to the ordered bases B and D,505,1
988,matrix of a linear transformation,503,1
989,matrix recurrence,172,1
990,matrix theory,35,1
991,matrix transformation induced,"59, 104, 250",1
992,matrix transformations,90,1
993,matrix-vector products,49,1
994,"mean, ”average” of the sample values",322,2
995,"mean, calculation",500,2
996,sample mean,322,2
997,"median, tetrahedron",225,2
998,"median, triangle",225,2
999,messages,481,1
1000,metric,397,1
1001,midpoint,216,1
1002,migration matrix,184,1
1003,minimum distance,478,1
1004,modular arithmetic,473,1
1005,modulo,473,1
1006,modulus,"473, 599",1
1007,Moore-Penrose inverse,"322, 457",1
1008,morphisms,397,1
1009,block multiplication,73,2
1010,"multiplication, compatible","68, 74",2
1011,matrix multiplication,64,2
1012,matrix-vector multiplication,48,2
1013,"multiplication, matrix-vector products",49,2
1014,scalar multiplication,"39, 330, 332",2
1015,multiplication rule,603,1
1016,multiplicity,"180, 304, 410, 625",1
1017,multivariate analysis,501,1
1018,nearest neighbour decoding,478,1
1019,correlation,324,1
1020,of m× n matrix,38,1
1021,vector,"47, 330",1
1022,negative x,47,1
1023,negative x-shear,61,1
1024,network ﬂow,27,1
1025,"Newton, Sir Isaac",11,1
1026,"Nicholson, W. Keith",475,1
1027,nilpotent,"190, 592",1
1028,noise,472,1
1029,nonleading variable,20,1
1030,nonlinear recurrences,196,1
1031,nontrivial solution,"20, 173",1
1032,nonzero scalar multiple of a basic solution,24,1
1033,nonzero vectors,"217, 284",1
1034,norm,"463, 541",1
1035,normal,"233, 469",1
1036,normal equations,311,1
1037,normalizing the orthogonal set,"286, 547",1
1038,null space,264,1
1039,nullity,383,1
1040,nullspace,382,1
1041,objective function,"497, 499",1
1042,objects,397,1
1043,odd function,579,1
1044,odd polynomial,354,1
1045,Ohm’s Law,30,1
1046,one-to-one transformations,384,1
1047,onto transformations,384,1
1048,open model of the economy,131,1
1049,open sector,131,1
1050,ordered n-tuple,"47, 275",1
1051,ordered basis,"503, 505",1
1052,origin,209,1
1053,orthocentre,262,1
1054,orthogonal basis,"416, 549",1
1055,orthogonal codes,484,1
1056,orthogonal complement,"418, 484, 551",1
1057,orthogonal diagonalization,"424, 557",1
1058,orthogonal hermitian matrix,465,1
1059,orthogonal lemma,"415, 549",1
1060,orthogonal matrix,"160, 424",1
1061,orthogonal projection,"420, 552",1
1062,orthogonal set of vectors,"466, 547",1
1063,orthogonal sets,"285, 415",1
1064,orthogonal vectors,"229, 285, 466, 547",1
1065,"orthogonality, complex matrices",461,2
1066,"orthogonality, constrained optimization",497,2
1067,"orthogonality, dot product",282,2
1068,"eigenvalues, computation of orthogonality",441,2
1069,"orthogonality, expansion theorem",548,2
1070,"orthogonality, ﬁnite ﬁelds",474,2
1071,"orthogonality, Fourier expansion",288,2
1072,"orthogonality, Gram-Schmidt orthogonalization algorithm","417, 426, 428, 438, 520, 549",2
1073,"orthogonality, normalizing the orthogonal set",286,2
1074,"orthogonality, orthogonal codes",484,2
1075,"orthogonality, orthogonal complement","418, 484",2
1076,"orthogonality, orthogonal diagonalization",424,2
1077,"orthogonality, orthogonal projection",420,2
1078,"orthogonality, orthogonal sets","285, 415",2
1079,"orthogonality, orthogonally similar",431,2
1080,"orthogonality, positive deﬁnite matrix",433,2
1081,"orthogonality, principal axes theorem",425,2
1082,"orthogonality, projection theorem",311,2
1083,"orthogonality, Pythagoras’ theorem",286,2
1084,"orthogonality, QR-algorithm",443,2
1085,"orthogonality, QR-factorization",437,2
1086,"orthogonality, quadratic forms","429, 487",2
1087,"orthogonality, real spectral theorem",426,2
1088,"orthogonality, statistical principal component analysis",500,2
1089,"orthogonality, triangulation theorem",430,2
1090,orthogonally diagonalizable,425,1
1091,orthogonally similar,431,1
1092,orthonormal basis,"550, 559",1
1093,orthonormal matrix,424,1
1094,orthonormal set,"466, 547",1
1095,orthonormal vector,285,1
1096,PageRank,189,1
1097,paired samples,324,1
1098,parabola,491,1
1099,parallel,217,1
1100,parallelepiped,"247, 255",1
1101,"parallelogram, area equal to zero",246,2
1102,"parallelogram, deﬁned","110, 212",2
1103,"parallelogram, determined by geometric vectors",212,2
1104,"parallelogram, image",255,2
1105,"parallelogram, law","110, 212, 601",2
1106,"parallelogram, rhombus",230,2
1107,parameters,"2, 14",1
1108,parametric equations of a line,219,1
1109,parametric form,2,1
1110,parity digits,482,1
1111,parity-check code,479,1
1112,parity-check matrices,482,1
1113,Parseval’s formula,556,1
1114,particle physics,499,1
1115,partitioned into blocks,73,1
1116,path of length,75,1
1117,"Peano, Guiseppe",329,1
1118,Pearson correlation coefﬁcient,324,1
1119,perfect code,479,1
1120,period,371,1
1121,permutation matrix,"123, 432, 521",1
1122,perpendicular lines,226,1
1123,physical dynamics,469,1
1124,pigeonhole principle,614,1
1125,"Pisano, Leonardo",195,1
1126,planes,"233, 264",1
1127,"Pless, V.",484,1
1128,PLU-factorization,124,1
1129,point-slope formula,221,1
1130,pointwise addition,"332, 333",1
1131,polar decomposition,455,1
1132,polar form,601,1
1133,"polynomials, as matrix entries and determinants",152,2
1134,"polynomials, associated with the linear recurrence",408,2
1135,"polynomials, coefﬁcients","319, 332, 623",2
1136,"polynomials, companion matrix",157,2
1137,"polynomials, complex roots","177, 465, 626",2
1138,"polynomials, constant",623,2
1139,"polynomials, deﬁned","331, 623",2
1140,"polynomials, degree of the polynomial","332, 623",2
1141,"polynomials, distinct degrees",347,2
1142,", division algorithm",625,1
1143,", equal","332, 623",1
1144,", evaluation","182, 340",1
1145,", even",354,1
1146,", factor theorem",625,1
1147,", form",623,1
1148,", indeterminate",623,1
1149,", interpolating the polynomial",165,1
1150,", Lagrange polynomials","365, 548",1
1151,", leading coefﬁcient","332, 623",1
1152,", least squares approximating polynomial",317,1
1153,", Legendre polynomials",550,1
1154,", nonconstant polynomial with complex coefﬁcients",306,1
1155,", odd",354,1
1156,", remainder theorem",624,1
1157,", root","174, 441, 597",1
1158,", root of characteristic polynomial","174, 368",1
1159,", Taylor’s theorem",364,1
1160,", vector spaces","331, 363",1
1161,", with no root","625, 626",1
1162,", zero polynomial",623,1
1163,position vector,213,1
1164,positive x-shear,61,1
1165,positive correlation,323,1
1166,positive deﬁnite,"433, 497",1
1167,positive deﬁnite matrix,"433, 539",1
1168,positive matrix,455,1
1169,positive semi-deﬁnite matrix,455,1
1170,positive semideﬁnite,501,1
1171,power method,"441, 442",1
1172,power sequences,406,1
1173,practical problems,1,1
1174,preimage,381,1
1175,prime,"474, 614",1
1176,principal argument,601,1
1177,principal axes,"426, 489",1
1178,principal axes theorem,"425, 465, 468, 498, 561",1
1179,principal components,501,1
1180,principal submatrices,434,1
1181,probabilities,134,1
1182,probability law,500,1
1183,probability theory,501,1
1184,"product, complex number",600,2
1185,determinant of product of matrices,158,1
1186,dot product,226,1
1187,matrix products,66,1
1188,matrix-vector products,49,1
1189,scalar product,226,1
1190,standard inner product,462,1
1191,theorem,"158, 168",1
1192,product rule,404,1
1193,linear operator,564,1
1194,linear operators,251,1
1195,orthogonal projection,"420, 552",1
1196,projection matrix,"63, 423, 432",1
1197,"U, with kernel W",551,2
1198,projection theorem,"311, 420, 552",1
1199,projections,"114, 230, 418",1
1200,by contradiction,613,1
1201,deﬁned,611,1
1202,direct proof,611,1
1203,formal proofs,612,1
1204,reduction to cases,613,1
1205,proper subspace,"263, 279",1
1206,pseudoinverse,457,1
1207,pure imaginary numbers,597,1
1208,Pythagoras,"221, 612",1
1209,Pythagoras’ theorem,"221, 228, 286, 547, 612",1
1210,QR-algorithm,443,1
1211,QR-factorization,438,1
1212,quadratic equation,497,1
1213,quadratic form,"429, 487, 541",1
1214,quadratic formula,606,1
1215,quotient,473,1
1216,radian measure,"111, 601",1
1217,random variable,500,1
1218,range,382,1
1219,linear transformation,"383, 508",1
1220,matrix,"16, 291, 383",1
1221,quadratic form,494,1
1222,similarity invariant,518,1
1223,symmetric matrix,494,1
1224,theorem,291,1
1225,rational numbers,330,1
1226,Rayleigh quotients,442,1
1227,real axis,600,1
1228,real Jordan canonical form,593,1
1229,real numbers,"1, 47, 330, 332, 461, 465, 474",1
1230,real parts,"403, 597",1
1231,real quadratic,606,1
1232,real spectral theorem,426,1
1233,recurrence,193,1
1234,recursive algorithm,11,1
1235,recursive sequence,193,1
1236,reduced row-echelon form,"10, 11, 100",1
1237,reduced row-echelon matrix,"10, 11",1
1238,reducible,531,1
1239,reduction to cases,613,1
1240,"reﬂections, about a line through the origin",160,2
1241,"reﬂections, ﬁxed hyperplane",575,2
1242,"reﬂections, ﬁxed line",569,2
1243,"reﬂections, ﬁxed plane",572,2
1244,"reﬂections, isometries",568,2
1245,"reﬂections, linear operators",251,2
1246,"reﬂections, linear transformations",113,2
1247,regular representation,522,1
1248,regular stochastic matrix,139,1
1249,remainder,473,1
1250,remainder theorem,"363, 624",1
1251,repellor,187,1
1252,reproduction rate,171,1
1253,restriction,524,1
1254,reversed,7,1
1255,rhombus,230,1
1256,right cancelled invertible matrix,85,1
1257,right-hand coordinate systems,247,1
1258,right-hand rule,248,1
1259,"root, of characteristic polynomial","174, 368, 369",2
1260,"root, of polynomials","340, 441, 597",2
1261,"root, of the quadratic",606,2
1262,roots of unity,604,1
1263,rotation,575,1
1264,"rotations, about a line through the origin",519,2
1265,and orthogonal matrices,160,1
1266,axis,572,1
1267,describing rotations,111,1
1268,ﬁxed axis,575,1
1269,isometries,568,1
1270,linear operators,254,1
1271,linear transformations,111,1
1272,round-off error,175,1
1273,row matrix,35,1
1274,row space,290,1
1275,row-echelon form,"10, 11",1
1276,row-echelon matrix,"10, 11",1
1277,row-equivalent matrices,103,1
1278,"rows, (i, j)-entry",35,2
1279,"rows, as notations for ordered ntuples",275,2
1280,"rows, convention",36,2
1281,"rows, elementary row operations",5,2
1282,"rows, leading 1",10,2
1283,"rows, shape of matrix",35,2
1284,"rows, Smith normal form",99,2
1285,zero rows,10,2
1286,saddle point,188,1
1287,same action,"59, 333, 378",1
1288,analysis of sample,322,2
1289,comparison of two samples,323,2
1290,"sample, deﬁned",322,2
1291,paired samples,324,2
1292,sample correlation coefﬁcient,324,1
1293,sample mean,322,1
1294,sample standard deviation,323,1
1295,sample variance,323,1
1296,sample vector,322,1
1297,satisfy the relation,406,1
1298,scalar,"39, 330, 474",1
1299,scalar equation of a plane,233,1
1300,scalar matrix,143,1
1301,scalar multiple law,"110, 215, 217",1
1302,scalar multiples,"21, 39, 110",1
1303,"scalar multiplication, axioms",330,2
1304,"scalar multiplication, basic properties",334,2
1305,"scalar multiplication, closed under","47, 330",2
1306,closed under scalar multiplication,263,2
1307,described,39,1
1308,distributive laws,41,1
1309,geometric vectors,215,1
1310,geometrical description,110,1
1311,of functions,333,1
1312,preserving scalar multiplication,104,1
1313,vectors,330,1
1314,scalar operator,376,1
1315,"scalar product, deﬁned",226,2
1316,"scalar product, elementary row operations",21,2
1317,"scalar product, geometric vectors",215,2
1318,scatter diagram,323,1
1319,"Schmidt, Erhardt",417,1
1320,Schur’s theorem,467,1
1321,"Schur, Issai",467,1
1322,second-order differential equation,"368, 402",1
1323,"Seneta, E.",130,1
1324,"sequence, Fibonacci",195,2
1325,constant sequences,406,2
1326,"sequences, equal",406,2
1327,"sequences, Fibonacci",195,2
1328,"sequences, linear recurrences",192,2
1329,"sequences, notation",406,2
1330,"sequences, of column vectors",172,2
1331,"sequences, ordered sequence of real numbers",47,2
1332,power sequences,406,2
1333,"sequences, recursive sequence",193,2
1334,"sequences, satisfy the relation",406,2
1335,set,263,1
1336,set notation,264,1
1337,"set of all ordered n-tuples (Rn), n-tuples",290,2
1338,"set of all ordered n-tuples (Rn), as inner product space",537,2
1339,"set of all ordered n-tuples (Rn), closed under addition and scalar multiplication",47,2
1340,"set of all ordered n-tuples (Rn), complex eigenvalues",306,2
1341,"set of all ordered n-tuples (Rn), dimension",276,2
1342,"set of all ordered n-tuples (Rn), dot product","282, 462",2
1343,"set of all ordered n-tuples (Rn), expansion theorem",287,2
1344,"set of all ordered n-tuples (Rn), linear independence",271,2
1345,"set of all ordered n-tuples (Rn), linear operators",250,2
1346,"set of all ordered n-tuples (Rn), notation",47,2
1347,"set of all ordered n-tuples (Rn), orthogonal sets",285,2
1348,projection on,421,1
1349,rank of a matrix,291,1
1350,rules of matrix arithmetic,330,1
1351,similar matrices,298,1
1352,spanning sets,266,1
1353,special types of matrices,330,1
1354,standard basis,106,1
1355,subspaces,"263, 331",1
1356,symmetric matrix,307,1
1357,"Shannon, Claude",477,1
1358,shift operator,410,1
1359,shifting,444,1
1360,sign,146,1
1361,similar matrices,298,1
1362,similarity invariant,518,1
1363,simple harmonic motions,371,1
1364,simplex algorithm,"17, 500",1
1365,sine,"111, 601",1
1366,single vector equation,48,1
1367,singular matrix,448,1
1368,singular value decomposition,"445, 451",1
1369,singular values,447,1
1370,size m× n matrix,35,1
1371,skew-hermitian,471,1
1372,skew-symmetric,"46, 528, 563",1
1373,Smith normal form,99,1
1374,algebraic method,"4, 9",1
1375,basic solutions,"24, 454",1
1376,best approximation to,310,1
1377,consistent system,"1, 16",1
1378,general solution,"2, 14",1
1379,geometric description,3,1
1380,in parametric form,2,1
1381,inconsistent system,1,1
1382,nontrivial solution,"20, 173",1
1383,solution to a system,"1, 14",1
1384,to linear equation,1,1
1385,trivial solution,20,1
1386,solution to a system,1,1
1387,span,"266, 341",1
1388,spanning sets,"266, 341",1
1389,spectral theorem,468,1
1390,spectrum,426,1
1391,sphere,499,1
1392,spring constant,371,1
1393,square matrix (n × n matrix) characteristic polynomial,"173, 469",1
1394,cofactor matrix,160,1
1395,deﬁned,35,1
1396,determinants,"81, 145, 159",1
1397,diagonal matrices,"79, 172",1
1398,diagonalizable matrix,"178, 516",1
1399,diagonalizing matrix,178,1
1400,elementary matrix,95,1
1401,hermitian matrix,464,1
1402,idempotent,79,1
1403,identity matrix,"52, 56",1
1404,invariants,176,1
1405,lower triangular matrix,154,1
1406,matrix of an operator,516,1
1407,nilpotent matrix,190,1
1408,orthogonal matrix,160,1
1409,positive deﬁnite matrix,"433, 539",1
1410,regular representation of complex numbers,522,1
1411,scalar matrix,143,1
1412,similarity invariant,518,1
1413,skew-symmetric,46,1
1414,square,79,1
1415,trace,299,1
1416,triangular matrix,154,1
1417,unitary matrix,466,1
1418,upper triangular matrix,154,1
1419,staircase form,10,1
1420,standard basis,"106, 268, 272, 277, 278, 349, 461",1
1421,standard deviation,501,1
1422,standard generator,482,1
1423,standard inner product,462,1
1424,standard matrix,513,1
1425,standard position,"110, 601",1
1426,state vectors,137,1
1427,statistical principal component analysis,500,1
1428,steady-state vector,140,1
1429,stochastic matrices,"130, 136",1
1430,structure theorem,570,1
1431,submatrix,298,1
1432,subset,263,1
1433,subspace test,339,1
1434,matrix,264,1
1435,basis,276,1
1436,closed under addition,263,1
1437,closed under scalar multiplication,263,1
1438,column space,445,1
1439,complex subspace,470,1
1440,deﬁned,"263, 338",1
1441,dimension,276,1
1442,eigenspace,303,1
1443,fundamental,452,1
1444,fundamental theorem,276,1
1445,image,"381, 382, 445",1
1446,intersection,"270, 360",1
1447,invariance theorem,276,1
1448,invariant subspaces,523,1
1449,kernel,382,1
1450,planes and lines through the origin,264,1
1451,projection,420,1
1452,proper subspace,263,1
1453,spanning sets,266,1
1454,subspace test,339,1
1455,sum,"270, 360",1
1456,vector spaces,338,1
1457,zero subspace,"263, 339",1
1458,"subtraction, complex number",597,2
1459,"subtraction, matrix",38,2
1460,"subtraction, vector",214,2
1461,algebraic sum,30,2
1462,"sum, complex number",601,2
1463,direct sum,"360, 528",2
1464,"sum, elementary row operations",21,2
1465,"sum, geometric vectors",213,2
1466,"sum, geometrical description",110,2
1467,"sum, matrices of the same size",37,2
1468,"sum, matrix addition",37,2
1469,"sum, of product of matrix entries",152,2
1470,"sum, of scalar multiples",21,2
1471,"sum, of two vectors",330,2
1472,"sum, of vectors in two subspaces",528,2
1473,"sum, subspaces","270, 360",2
1474,"sum, subspaces of a vector space",360,2
1475,"sum, variances of set of random variables",502,2
1476,summation notation,205,1
1477,Sylvester’s Law of Inertia,494,1
1478,symmetric bilinear form,497,1
1479,symmetric form,"225, 487",1
1480,symmetric linear operator,559,1
1481,,"674, 307",1
1482,", congruence",493,1
1483,", deﬁned",43,1
1484,", index",494,1
1485,", orthogonal eigenvectors",425,1
1486,", positive deﬁnite",433,1
1487,", rank and index",494,1
1488,", real eigenvalues",307,1
1489,syndrome,483,1
1490,syndrome decoding,483,1
1491,system of linear equations algebraic method,4,1
1492,"system of linear equations algebraic method, associated homogeneous system",53,2
1493,"system of linear equations algebraic method, augmented matrix",3,2
1494,"system of linear equations algebraic method, chemical reactions application to",32,2
1495,"system of linear equations algebraic method, coefﬁcient matrix",4,2
1496,"system of linear equations algebraic method, consistent system","1, 16",2
1497,"system of linear equations algebraic method, constant matrix",4,2
1498,"system of linear equations algebraic method, deﬁned",1,2
1499,"system of linear equations algebraic method, electrical networks application to",29,2
1500,"system of linear equations algebraic method, elementary operations",5,2
1501,"system of linear equations algebraic method, equivalent systems",4,2
1502,"system of linear equations algebraic method, gaussian elimination","9, 14",2
1503,"system of linear equations algebraic method, general solution",2,2
1504,"system of linear equations algebraic method, homogeneous equations",20,2
1505,"system of linear equations algebraic method, inconsistent system",1,2
1506,"system of linear equations algebraic method, inﬁnitely many solutions",3,2
1507,"system of linear equations algebraic method, inverses and",82,2
1508,"system of linear equations algebraic method, matrix multiplication",70,2
1509,"system of linear equations algebraic method, network ﬂow application",27,2
1510,"system of linear equations algebraic method, no solution",3,2
1511,"system of linear equations algebraic method, nontrivial solution",20,2
1512,"system of linear equations algebraic method, normal equations",311,2
1513,"system of linear equations algebraic method, positive integers",32,2
1514,"system of linear equations algebraic method, rank of a matrix",16,2
1515,"system of linear equations algebraic method, solutions",1,2
1516,"system of linear equations algebraic method, trivial solution",20,2
1517,"system of linear equations algebraic method, unique solution",3,2
1518,"system of linear equations algebraic method, with m×n coefﬁcient matrix",49,2
1519,systematic generator,482,1
1520,tail,212,1
1521,Taylor’s theorem,"364, 515",1
1522,tetrahedron,225,1
1523,theorems,615,1
1524,theory of Hilbert spaces,417,1
1525,third-order differential equation,"368, 402",1
1526,"time, functions of",172,1
1527,tip,212,1
1528,tip-to-tail rule,213,1
1529,total variance,502,1
1530,trace,"79, 299, 376, 518",1
1531,trajectory,187,1
1532,action,"59, 503",1
1533,composite,65,1
1534,deﬁning,59,1
1535,described,59,1
1536,equal,59,1
1537,identity transformation,60,1
1538,matrix transformation,59,1
1539,zero transformation,60,1
1540,transition matrix,"135, 136",1
1541,transition probabilities,"134, 136",1
1542,translation,"61, 380, 564",1
1543,transpose of a matrix,42,1
1544,transposition,"42, 376",1
1545,altitude,262,1
1546,centroid,225,1
1547,hypotenuse,612,1
1548,inequality,"244, 284, 599",1
1549,median,225,1
1550,orthocentre,262,1
1551,triangle inequality,"244, 543, 599",1
1552,triangular matrices,"118, 154",1
1553,triangulation algorithm,586,1
1554,triangulation theorem,430,1
1555,trigonometric functions,111,1
1556,trivial linear combinations,"271, 345",1
1557,trivial solution,20,1
1558,uncorrelated,501,1
1559,unit ball,"499, 541",1
1560,unit circle,"110, 542, 601",1
1561,unit cube,256,1
1562,unit square,256,1
1563,unit triangular,128,1
1564,unit vector,"215, 282, 463, 541",1
1565,unitarily diagonalizable,467,1
1566,unitary diagonalization,467,1
1567,unitary matrix,466,1
1568,upper Hessenberg form,444,1
1569,upper triangular matrix,"118, 154, 467",1
1570,Vandermonde determinant,167,1
1571,Vandermonde matrix,153,1
1572,variance,"322, 501",1
1573,variance formula,326,1
1574,vector addition,"330, 601",1
1575,vector equation of a line,218,1
1576,vector equation of a plane,234,1
1577,"vector geometry, angle between two vectors",228,2
1578,"vector geometry, computer graphics",258,2
1579,"vector geometry, cross product",236,2
1580,"vector geometry, deﬁned",209,2
1581,"vector geometry, direction vector",218,2
1582,"vector geometry, line perpendicular to plane",226,2
1583,"vector geometry, linear operators",250,2
1584,"vector geometry, lines in space",218,2
1585,"vector geometry, planes",233,2
1586,"vector geometry, projections",231,2
1587,"vector geometry, symmetric form",225,2
1588,"vector geometry, vector equation of a line",218,2
1589,vector product,236,1
1590,vector quantities,211,1
1591,"vector spaces, ","3, 209",2
1592,"vector spaces, abstract",329,2
1593,"vector spaces, as category",397,2
1594,"vector spaces, axioms","330, 333, 335",2
1595,"vector spaces, basic properties",329,2
1596,"vector spaces, basis",349,2
1597,"vector spaces, cancellation",333,2
1598,"vector spaces, continuous functions",538,2
1599,"vector spaces, deﬁned",330,2
1600,"vector spaces, differential equations",368,2
1601,"vector spaces, dimension",349,2
1602,"vector spaces, direct sum",528,2
1603,"vector spaces, examples",329,2
1604,"vector spaces, ﬁnite dimensional spaces",354,2
1605,"vector spaces, inﬁnite dimensional",355,2
1606,"vector spaces, introduction of concept",329,2
1607,"vector spaces, isomorphic",392,2
1608,"vector spaces, linear independence",345,2
1609,"vector spaces, linear recurrences",405,2
1610,"vector spaces, linear transformations",375,2
1611,"vector spaces, polynomials","331, 363",2
1612,basic properties of vector spaces,334,2
1613,"vector spaces, spanning sets",341,2
1614,subspaces,"338, 360",1
1615,theory of vector spaces,333,1
1616,zero vector space,336,1
1617,"vectors, addition",330,2
1618,"vectors, arrow representation",58,2
1619,column vectors,172,2
1620,"vectors, complex matrices",461,2
1621,coordinate vectors,"215, 236, 256, 268, 504",2
1622,"vectors, deﬁned","47, 330, 461",2
1623,difference of vectors,334,2
1624,direction of vectors,211,2
1625,"vectors, direction vector",218,2
1626,ﬁxed vectors,576,2
1627,"vectors, initial state vector",137,2
1628,"vectors, intrinsic descriptions",211,2
1629,"vectors, length","212, 282, 463, 541",2
1630,"vectors, matrix recurrence",172,2
1631,"vectors, matrix-vector multiplication",48,2
1632,"vectors, matrix-vector products",49,2
1633,"vectors, negative",47,2
1634,"vectors, nonzero",217,2
1635,orthogonal vectors,"229, 285, 466, 547",2
1636,"vectors, orthonormal vector","285, 466",2
1637,"vectors, position vector",213,2
1638,"vectors, sample vector",322,2
1639,"vectors, scalar multiplication",330,2
1640,"vectors, single vector equation",48,2
1641,"vectors, state vector",135,2
1642,"vectors, steady-state vector",140,2
1643,"vectors, subtracted",334,2
1644,sum of two vectors,330,2
1645,"vectors, unit vector","215, 282, 463",2
1646,"vectors, zero n-vector",47,2
1647,"vectors, zero vector","263, 330",2
1648,velocity,211,1
1649,vertices,75,1
1650,vibrations,499,1
1651,linear transformations of volume,255,2
1652,"volume, of parallelepiped","247, 255",2
1653,"Weyl, Hermann",329,1
1654,whole number,611,1
1655,"Wilf, Herbert S.",189,1
1656,words,477,1
1657,wronskian,373,1
1658,zero n-vector,47,1
1659,"zero matrix, described",38,2
1660,"zero matrix, no inverse",81,2
1661,scalar multiplication,40,1
1662,zero polynomial,332,1
1663,zero rows,10,1
1664,zero subspace,"263, 339",1
1665,zero transformation,"60, 117, 376",1
1666,zero vector,"263, 330",1
1667,zero vector space,336,1
