,concept,pages,level
211,principal axes,"404, 429",1
212,"principal axis, quadratic forms",427,2
213,principal submatrices,418,1
214,"principal submatrices, positive deﬁnite",419,2
215,proper subspace,"201, 486",1
216,QR factorization,422,1
217,quadratic form,427,1
218,quadratic formula,343,1
219,random walk,380,1
220,range of matrix transformation,292,1
221,rank,312,1
222,rank added to nullity,312,1
223,"reﬂection, across a given vector",291,2
224,regression line,254,1
225,resultant,262,1
226,right handed system,183,1
227,row operations,"15, 114",1
228,row space,211,1
229,scalar,8,1
230,scalar product,167,1
231,scalar transformation,500,1
232,scalars,150,1
233,scaling factor,425,1
234,set notation,537,1
235,similar matrices,362,1
236,similar matrix,356,1
237,singular values,409,1
238,skew lines,6,1
239,solution space,322,1
240,span,"192, 233, 472",1
241,spanning set,472,1
242,"spanning set, basis",208,2
243,"spanning set, spectrum",349,2
244,"spanning set, speed",263,2
245,"spanning set, spherical coordinates",450,2
246,"spanning set, standard basis",204,2
247,"spanning set, state vector",378,2
248,"spanning set, subset","192, 471",2
249,"spanning set, subspace","202, 484",2
250,"subspace, basis","204, 234",2
251,"subspace, dimension",205,2
252,"subspace, has a basis",491,2
253,"subspace, span",203,2
254,summation notation,539,1
255,surjection,293,1
256,symmetric matrix,401,1
257,system of equations,8,1
258,"system of equations, homogeneous",8,2
259,"system of equations, matrix form",61,2
260,"system of equations, solution set",8,2
261,"system of equations, vector form",59,2
262,trace of a matrix,363,1
263,triangle inequality,169,1
264,"trigonometry, sum of two angles",289,2
265,trivial solution,28,1
266,union,537,1
267,unit vector,158,1
268,"variable, basic",25,2
269,"variable, free",25,2
270,vector,147,1
271,"vector, addition",148,2
272,"vector, addition, geometric meaning",147,2
273,"vector, components",147,2
274,"vector, coordinate vector",316,2
275,"vector, corresponding unit vector",158,2
276,"vector, length",158,2
277,"vector, orthogonal",172,2
278,"vector, perpendicular","172, 173",2
279,"vector, points and vectors",146,2
280,"vector, projection",174,2
281,"vector, scalar multiplication",150,2
282,"vector, subtraction",149,2
283,vector space,455,1
284,"vector space, dimension",490,2
285,"vector space, vector space axioms",455,2
286,"vector space, vectors",58,2
287,"vectors, basis","204, 234",2
288,"vectors, column",58,2
289,"vectors, linear dependent",194,2
290,"vectors, linear independent","195, 233",2
291,"vectors, orthogonal",235,2
292,"vectors, orthonormal",235,2
293,"vectors, row vector",58,2
294,"vectors, span","192, 233",2
295,velocity,263,1
296,well ordered,540,1
297,work,265,1
298,zero matrix,54,1
299,zero subspace,201,1
300,zero transformation,"271, 500",1
301,zero vector,149,1
