,concept,pages,level
199,"homomorphism, nonsingular",227,2
200,"homomorphism, null space",204,2
201,"homomorphism, nullity",204,2
202,"homomorphism, range space",200,2
203,"homomorphism, rank",225,2
204,"homomorphism, singular",227,2
205,"homomorphism, zero",192,2
206,hyperplane,40,1
207,Jordan block,"452,454",1
208,Jordan chain,452,1
209,Jordan form,"440,441,442,443,444,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1
210,Jordan string,452,1
211,kernel of linear map,204,1
212,Kirchhoﬀ’s Laws,77,1
213,Laplace determinant expansion,"363,364,365,366,367,000",1
214,Last Supper,380,1
215,leading entry,15,1
216,leading variable,6,1
217,least squares,"295,296,297,298,299,000",1
218,length of a vector,42,1
219,line,38,1
220,"line, in projective plane",385,2
221,line at inﬁnity,386,1
222,"line, of best ﬁt","295,296,297,298,299,000",2
223,linear combination,2,1
224,Linear Combination Lemma,57,1
225,linear elimination,3,1
226,linear equation,2,1
227,"linear equation, coeﬃcients",2,2
228,"linear equation, constant",2,2
229,"linear equation, homogeneous",24,2
230,"linear equation, inconsistent systems",295,2
231,"linear equation, satisﬁed by a vector",17,2
232,"linear equation, solution of",2,2
233,"linear equation, solution of, Cramer’s rule",370,3
234,"linear equation, solution of, Gauss’s Method",4,3
235,"linear equation, solution of, Gauss-Jordan",51,3
236,"linear equation, system of",2,2
237,linear extension of a function,194,1
238,ideal line,386,1
239,ideal point,386,1
240,identity,,1
241,"identity, matrix",247,2
242,ill-conditioned problem,73,1
243,index of nilpotency,430,1
244,inherited operations,85,1
245,inner product,43,1
246,Input-Output Analysis 67–71,"67,68,69,70,71",1
247,internal direct sum,"148,183",1
248,invariant subspace,"439,456",1
249,inverse,255,1
250,"inverse, additive",84,2
251,"inverse, matrix",366,2
252,inverse function,255,2
253,inverse image,201,1
254,inversion,347,1
255,irreducible polynomial,399,1
256,isometry,319,1
257,linear independence multiset,113,1
258,linear map,191,1
259,"linear map, dilation",303,2
260,"linear map, reﬂection","303,322",2
261,"linear map, rotation","302,322",2
262,"linear map, shear",304,2
263,"linear map, trace",462,2
264,"linear maps, vector space of",195,1
265,linear recurrence,476,1
266,linear relationship,110,1
267,linear surface,40,1
268,linear transformation,195,1
269,linearly dependent,109,1
270,linearly independent,109,1
271,dangling link,471,1
272,sink link,471,1
273,LINPACK,65,1
274,"matrix, column space",137,2
275,"matrix, conditioning number",75,2
276,"matrix, determinant","326,332",2
277,"matrix, diagonal","230,248",2
278,"matrix, diagonalizable",408,2
279,"matrix, diagonalized",270,2
280,"matrix, echelon form",15,2
281,"matrix, elementary",250,2
282,"matrix, elementary reduction","250,302",2
283,"matrix, entry",15,2
284,"matrix, equivalent",270,2
285,"matrix, Google",472,2
286,"matrix, identity","244,247",2
287,"matrix, inverse","254,255,256,257,258,000,000,000,000",2
288,"matrix, magic square",308,2
289,"matrix, main diagonal",247,2
290,"matrix, Markov",253,2
291,"matrix, matrix-vector product",215,2
292,"matrix, minimal polynomial","244,441",2
293,"matrix, minor",364,2
294,"matrix, multiplication",237,2
295,"matrix, nilpotent",430,2
296,"matrix, nonsingular","30,227",2
297,"matrix, orthogonal",321,2
298,"matrix, orthonormal","319,320,321,322,323,000",2
299,"matrix, permutation","248,341",2
300,"matrix, rank",225,2
301,"matrix, representation",214,2
302,"matrix, row",15,2
303,"matrix, row equivalence",53,2
304,"matrix, row rank",136,2
305,"matrix, row space",136,2
306,"matrix, scalar multiple",233,2
307,"matrix, scalar multiplication",17,2
308,"matrix, similar",361,2
309,"matrix, similarity",404,2
310,"matrix, singular",30,2
311,"matrix, skew-symmetric",345,2
312,"matrix, sparse",464,2
313,"matrix, stochastic","314,473",2
314,"matrix, submatrix",336,2
315,"matrix, sum","17,233",2
316,"matrix, symmetric","128,151,235,243,252,000",2
317,magic square,"308,309,310,311,312",1
318,normal,309,2
319,map,,1
320,"map, distance-preserving",319,2
321,"map, self composition",424,2
322,Maple,65,1
323,Markov chain,"313,314,315,316,317,000",1
324,Mathematica,65,1
325,mathematical induction,26,1
326,MATLAB,65,1
327,matrices {o}f,15,1
328,matrix,15,1
329,"matrix, adjacency",252,2
330,"matrix, adjoint",366,2
331,"matrix, adjugate",366,2
332,"matrix, antisymmetric",151,2
333,"matrix, augmented",16,2
334,"matrix, block","271,345",2
335,"matrix, column",15,2
336,opposite map,323,1
337,orientation,"357,361",1
338,orientation preserving map,323,1
339,orientation reversing map,323,1
340,orthogonal,46,1
341,"orthogonal, basis",281,2
342,"orthogonal, complement",288,2
343,"orthogonal, projection",288,2
344,orthogonal matrix,321,1
345,orthogonalization,282,1
346,orthonormal basis,283,1
347,orthonormal matrix,"319,320,321,322,323,000",1
348,"matrix, trace","235,253,309,462",2
349,"matrix, transition",314,2
350,"matrix, transpose","22,138,235",2
351,"matrix, triangular","222,253,368",2
352,"matrix, tridiagonal",466,2
353,"matrix, unit",245,2
354,"matrix, Vandermonde",345,2
355,"matrix, zero",234,2
356,matrix equivalence,"267,268,269,270,271,000,000,000",1
357,method of powers,"464,465,467",1
358,minimal polynomial,"244,441",1
359,minor of a matrix,364,1
360,morphism,175,1
361,multilinear,338,1
362,multiplication,,1
363,"multiplication, matrix-matrix",237,2
364,"multiplication, matrix-vector",215,2
365,multiplicity,,1
366,"multiplicity, algebraic",418,2
367,"multiplicity, geometric",418,2
368,multiplicity of a root,399,1
369,multiset,113,1
370,networks,"76,77,78,79,80,81",1
371,"nilpotency, index of",430,1
372,nilpotent,"428,429,430,431,432,000,000,000,000,000,000,000",1
373,"nilpotent, matrix",430,2
374,"nilpotent, transformation",430,2
375,"nilpotent, canonical form for",435,2
376,nonsingular,"227,256",1
377,"nonsingular, homomorphism",227,2
378,"nonsingular, matrix",30,2
379,"normalize, vector","43,283",1
380,null space,204,1
381,nullity,204,1
