,concept,pages,level
169,"line, dimension-1 solution set","58,64",2
170,"line, geometric deﬁnition of",6,2
171,"line, number line",3,2
172,"line, orthogonal projection onto","361,377",2
173,"line, parametric form of line",10,2
174,linear transformation,142,1
175,"orthogonal projection, standard matrix of",148,2
176,"linear transformation, standard matrix",148,2
177,"linear transformation, standard matrix of orthogonal projection",369,2
178,linear transformation when deﬁned by a formula,145,2
179,linear combination,35,1
180,"matrix, addition of",166,2
181,"matrix, Matrix transformation",114,2
182,"matrix, augmented",13,2
183,"matrix, cofactor of",207,2
184,"matrix, and determinants",207,2
185,"matrix, sign",207,2
186,matrix,13,1
187,linear equation,2,1
188,"matrix, diagonal entries of",192,2
189,"matrix, lower-triangular",192,2
190,"matrix, determinant of",193,2
191,"matrix, eigenvalues of",257,2
192,"matrix multiplication, associativity of",167,2
193,matrix multiplication,158,1
194,"matrix multiplication, determinant of",196,2
195,"matrix multiplication, inverse of",169,2
196,"matrix multiplication, noncommutativity of",160,2
197,"transformation, order of operations",161,2
198,"matrix multiplication, powers",158,2
199,"matrix, minor of",207,2
200,"matrix multiplication, powers and diagonalizability",279,3
201,"matrix multiplication, powers and similarity",263,3
202,"matrix, parallelepiped determined by",224,2
203,"matrix multiplication, properties of",167,2
204,"matrix multiplication, row-column rule",159,2
205,"matrix multiplication, size of matrices",158,2
206,"matrix, scalar multiplication of",166,2
207,"matrix, size of",44,2
208,"matrix, trace of",256,2
209,"matrix, similar",274,2
210,"matrix, transpose of",199,2
211,"matrix, upper-triangular",192,2
212,"matrix, determinant of upper-triangular",193,2
213,"matrix, eigenvalues of",257,2
214,"matrix equation, always consistent",51,2
215,"Matrix equation, and invertibility",251,2
216,"matrix transformation, and volumes",232,2
217,"matrix transformation, codomain of",124,2
218,matrix transformation,123,1
219,"matrix transformation, domain of",124,2
220,"matrix transformation, linearity of",142,2
221,"matrix transformation, of R2",126,2
222,"matrix transformation, one-to-one criteria",131,2
223,"matrix transformation, onto criteria",136,2
224,"matrix transformation, range of",124,2
225,"matrix transformation, tall matrices",138,2
226,"matrix transformation, wide matrices",134,2
227,matrix-vector product,45,1
228,"matrix equation, spans and consistency",48,2
229,"Matrix-vector product, and matrix multiplication",158,2
230,Matrix-vector product,44,1
231,"Matrix-vector product, row-column rule",47,2
232,"Matrix-vector product, with standard coordinate vectors",148,2
233,Matrix multiplication and composition of transformations,161,2
234,Orthogonal complement,348,1
235,"orthogonal complement, dimension of",353,2
236,"Orthogonal complement, of a column space","350,355",2
237,"Orthogonal complement, of a null space",355,2
238,"Orthogonal complement, of a row space",355,2
239,"Orthogonal complement, of a span","350,355",2
240,"orthogonal complement, system of linear equations",351,2
241,"Null space, and invertibility",251,2
242,null space,88,1
243,"null space, is a solution set",90,2
244,"null space, is a subspace",88,2
245,"null space, is the 0-eigenspace",251,2
246,"null space, of an orthogonal projection",371,2
247,"null space, orthogonal complement of",355,2
248,Nullity,110,1
249,"nullity, rank theorem",110,2
250,"Orthogonal projection, and B-coordinates",380,2
251,"orthogonal projection, as a transformation",368,2
252,"Orthogonal projection, composed with itself",368,2
253,"One-to-one, and invertibility",251,2
254,"One-to-one, criteria for matrix transformations",131,2
255,"orthogonal projection, Projection Formula",377,2
256,"orthogonal projection, row reduction","360,363",2
257,One-to-one,129,1
258,"One-to-one, functions of one variable",130,2
259,"One-to-one, negation of",130,2
260,"One-to-one, square matrices",141,2
261,"One-to-one, versus onto",139,2
262,"One-to-one, wide matrices",134,2
263,orthogonal projection,358,1
264,"orthogonal projection, distance from",358,2
265,"orthogonal projection, existence of",357,2
266,"orthogonal projection, is the closest vector",358,2
267,"orthogonal projection, linearity of",368,2
268,"orthogonal projection, of a vector in W",359,2
269,"orthogonal projection, of a vector in W ⊥",359,2
270,"orthogonal projection, onto a column space",387,2
271,"orthogonal projection, onto a line","361,377",2
272,"orthogonal projection, properties of",368,2
273,"orthogonal projection, range of",368,2
274,"orthogonal projection, standard matrix of",369,2
275,"onto, and invertibility",251,2
276,"onto, criteria for matrix transformations",136,2
277,standard matrix of orthogonal projection,371,2
278,onto,135,1
279,"onto, functions of one variable",136,2
280,"onto, negation of",135,2
281,"onto, square matrices",141,2
282,"onto, tall matrices",138,2
283,"points, distance between",343,2
284,point,30,1
285,"Orthogonal set, and B-coordinates",380,2
286,"Orthogonal set, and least squares",393,2
287,Orthogonal set,374,1
288,"orthogonal set, linear independence of",376,2
289,"orthogonal set, making orthonormal",375,2
290,"orthogonal set, necessity of",381,2
291,"orthogonal set, orthonormality of",374,2
292,"orthogonal set, orthonormality of standard coordinate vectors",374,2
293,"polynomial, complex roots of",411,2
294,"polynomial, conjugate roots of",411,2
295,"polynomial, cubic",411,2
296,"polynomial, factoring by hand",258,2
297,"polynomial, quadratic",411,2
298,"polynomial, rational roots of",258,2
299,"orthogonal set, producing from a basis",382,2
300,Orthogonality and the Pythagorean theorem,345,1
301,"projection, diagonalizability of",286,2
302,Orthogonality,345,1
303,"orthogonality, zero vector",345,2
304,Projection Formula,377,1
305,QR codes,5,1
306,Quadratic formula,411,1
307,Parallelepiped,223,1
308,"parallelepiped, ﬂat",224,2
309,"parallelepiped, parallelogram",223,2
310,Rank,110,1
311,"parallelepiped, area of parallelogram",227,2
312,"parallelepiped, volume of",224,2
313,rank theorem,110,2
314,row and column rank,356,2
315,Rational Root Theorem,258,1
316,Real n-space,3,1
317,"real n-space, as a subspace of itself",82,2
318,"real n-space, point of",3,2
319,Parameterized equation,26,1
320,Parametric form,"10,25",1
321,"Parametric vector form, of a homogeneous equation",54,2
322,"Parametric vector form, of an inhomogeneous equation",62,2
323,Real numbers R,3,1
324,Red Box,"323,326,330",1
325,Reduced row echelon form,16,1
326,"parametric vector form, particular solution",62,2
327,"reduced row echelon form, and invertibility",251,2
328,"reflection, eigenvectors of",241,2
329,reflection,373,1
330,"reflection, over the y-axis",126,2
331,"rotation, composition of",162,2
332,"rotation, counterclockwise by 90◦",126,2
333,"rotation, non-diagonalizability of",287,2
334,Perron–Frobenius theorem,327,1
335,Pivot,16,1
336,Pivot position,21,1
337,"plane, x y-plane",3,2
338,"plane, dimension-2 solution set","58,64",2
339,"plane, geometric deﬁnition of",7,2
340,"plane, parametric form of",11,2
341,Point,30,1
342,"Rotation-scaling matrix, and complex eigenvalues",310,2
343,Rotation-scaling matrix,306,1
344,"rotation-scaling matrix, structure of",306,2
345,"similarity, of matrices",319,2
346,"similarity, of diagonal matrices",300,2
347,"similarity, of diagonalizable matrices",299,2
348,Rotation-Scaling Theorem,310,1
349,Row echelon form,16,1
350,Row equivalence,15,1
351,Row operations,13,1
352,"row operations, and determinants",188,2
353,"row operations, replacement",13,2
354,"row operations, scaling",13,2
355,"row operations, swap",13,2
356,Solution set,2,1
357,"solution set, of a homogeneous system is a null space",90,2
358,"solution set, of a homogeneous system is a span",55,2
359,row reduction. algorithm,19,2
360,"row reduction, computing determinants",190,2
361,"solution set, size of",27,2
362,"solution set, translate of a span",62,2
363,"solution set, versus the column space",64,2
364,Row space,354,1
365,"row space, is column space of transpose",355,2
366,"space, R3",4,2
367,"space, color space",4,2
368,"space, dimension-3 solution set","58,64",2
369,"row space, orthogonal complement of",355,2
370,span,40,1
371,"span, is a subspace",87,2
372,"span, orthogonal complement of","350,355",2
373,Set builder notation,41,1
374,Shear in the x-direction,126,1
375,Shear multiplicities,293,1
376,"Shear multiplicities, non-diagonalizability of shear",285,2
377,"Standard coordinate vectors, and matrix columns",148,2
378,"Standard coordinate vectors, are unit vectors",344,2
379,"Standard coordinate vectors, columns of the identity matrix",148,2
380,Standard coordinate vectors,147,1
381,"similarity, action on a vector",265,2
382,"similarity, and eigenspaces",275,2
383,"similarity, and eigenvalues",274,2
384,"similarity, and eigenvectors",275,2
385,"similarity, and multiplicities",297,2
386,"similarity, and powers",263,2
387,"similarity, and the characteristic polynomial",274,2
388,stochastic matrix,325,1
389,"stochastic matrix, eigenvalues of",326,2
390,"stochastic matrix, long-term behavior of",327,2
391,"similarity, and the determinant",274,2
392,"similarity, and the trace",274,2
393,similarity,261,1
394,"similarity, equivalence relation",262,2
395,"similarity, geometry of",264,2
396,"similarity, identity matrix",262,2
397,"system of linear equations, trivial solution of",53,2
398,"stochastic matrix, steady state of",327,2
399,"system of linear equations, trivial solution of and invertibility",251,3
400,"stochastic matrix, sum of entries of vector",326,2
401,subset,81,1
402,"subset, set builder notation",41,2
403,"subset, versus subspace",84,2
404,"transformation, addition of ",165,2
405,"transformation, as a machine",120,2
406,"transformation, codomain of",120,2
407,"transformation, composition of",154,2
408,"transformation, noncommutativity of",156,2
409,"transformation, composition of, order of operations",161,3
410,"subspace, and spans",87,2
411,subspace,82,1
412,"subspace, is a span",87,2
413,"subspace, real n-space",82,2
414,"subspace, versus subset",84,2
415,"subspace, zero",82,2
416,Superposition principle,143,1
417,"system of linear equations, consistent",2,2
418,"system of linear equations, span criterion","41,48",2
419,system of linear equations,2,1
420,"system of linear equations, homogeneous",53,2
421,"system of linear equations, trivial solution of homogeneous",53,2
422,transformation,120,1
423,"transformation, domain of",120,2
424,"transformation, of one variable",121,2
425,"transformation, of several variables",122,2
426,"transformation, range of",120,2
427,"transformation, scalar multiplication of",165,2
428,"system of linear equations, inconsistent",2,2
429,"system of linear equations, RREF criterion",22,2
430,"system of linear equations, inhomogeneous",53,2
431,"system of linear equations, nontrivial solution of",53,2
432,"system of linear equations, nontrivial solution and free variables",53,2
433,"system of linear equations, nontrivial solution and invertibility",251,2
434,"system of linear equations,  nontrivial solution of",57,2
435,Unit cube,223,1
436,"unit vector, and orthonormality",374,2
437,unit vector,344,1
438,"unit vector, in the direction of a vector",344,2
439,"unit vector, standard coordinate vectors",344,2
440,"vector, addition",32,2
441,"vector, addition, parallelogram law",33,3
442,"system of linear equations, number of solutions of",27,2
443,"system of linear equations, solution of",2,2
444,"system of linear equations, solving with the inverse matrix",174,2
445,"vector, angle between",347,2
446,"vector, equation",38,2
447,"vector equation, equivalence with matrix equation",46,2
448,"vector equation, equivalence with system of equations",38,2
449,"vector, distance between",343,2
450,"vector, length of",342,2
451,"vecotr, real and imaginary parts of",311,2
452,"vector, row",47,2
453,"vector equation, solving",40,2
454,"vector, product of row vector with column vector",47,3
455,"vector, scalar multiplication with",32,2
456,volume ,,1
457,"volume, and length",227,2
458,"volume, of a parallelepiped",224,2
459,"volume, of a region",232,2
460,"volume, signed",230,2
461,"vector, unit vector in the direction of",344,2
