,concept,pages,level
217,rank of a matrix,112,1
218,real part,118,1
219,Real Spectral Theorem,221,1
220,real vector space,13,1
221,restriction operator,137,1
222,Riesz Representation Theorem,187,1
223,unitary operator,188,1
224,upper-triangular matrix,"147,256",1
225,Riesz Frigyes,187,1
226,row rank of a matrix,111,1
227,vector,"8,13",1
228,vector space,12,1
229,volume,324,1
230,scalar,4,1
231,scalar multiplication,"10,12",1
232,zero of a polynomial,122,1
233,"scalar multiplication, in quotient space",96,2
234,"scalar multiplication, of linear maps",55,2
235,"scalar multiplication, of matrices",73,2
236,Schur’s Theorem,186,1
