,concept,pages,level
202,matrix in orthonormal basis Linear transformation (operator),293,2
203,matrix of Linear transformation (operator),"87, 88",2
204,minimal polynomial of Linear transformation (operator),191,2
205,nilpotent Linear transformation (operator),222,2
206,non-negative Linear transformation (operator),"329, 341",2
207,nOll-singular Linear transformation (operator),79,2
208,normal Linear transformation (operator),312,2
209,Ilullity of Linear transformation (operator),71,2
210,orthogonal Linear transformation (operator),303,2
211,polar decompo�ition of Linear transformation (operator),343,2
212,positive Linear transformation (operator),329,2
213,product of Linear transformation (operator),76,2
214,quotient Linear transformation (operator),397,2
215,range of Linear transformation (operator),71,2
216,rank of Linear transformation (operator),71,2
217,self-adjoint Linear transformation (operator),"298, 314",2
218,semi-simple Linear transformation (operator),263,2
219,trace of Linear transformation (operator),106,2
220,transpose of Linear transformation (operator),112,2
221,triangulable Linear transformation (operator),202,2
222,unitary Linear transformation (operator),302,2
223,Lorentz group,382,2
224,"Lorentz transformation, :31 l (Ex. 15)",382,2
225,M atrix,6,1
226,augmented M atrix,14,2
227,M atrix of bilinear form,362,2
228,classical adjoint of M atrix,"148, 159",2
229,coefficient M atrix,6,2
230,cofactors M atrix,158,2
231,companion M atrix,230,2
232,conjugate transpose M atrix,272,2
233,coordinate M atrix,51,2
234,elementary M atrix,"20, 253",2
235,"elementary, Jordan M atrix",245,2
236,M atrix of form,322,2
237,identity M atrix,9,2
238,M atrix of inner product,274,2
239,invariant factors of M atrix,"239, 261",2
240,i nverse of M atrix,"22, 160",2
241,invertible M atrix,"22, 160",2
242,Jordan form of M atrix,247,2
243,Matrix of linear transformation,"87, 88",2
244,minimal polynomial of Matrix,191,2
245,Matrix tlilpotent,244,2
246,Matrix tlormal,315,2
247,Matrix orthogonal,"162, 380",2
248,Matrix positive,329,2
249,principal minors of Matrix,326,2
250,Matrix product,"17, 90",2
251,rank of Matrix,114,2
252,rational form of Matrix,238,2
253,row rank of Matrix,"56, 72, 114",2
254,Matrix row-reduced,9,2
255,Matrix row-reduced echelon,"11, 56",2
256,Matrix self-adjoint ( Hermitian),"35, 314",2
257,similarity of Matrix,94,2
258,Matrix skew-symmetric,"162, 210",2
259,Matrix symmetric,"35, 210",2
260,trace of Matrix,98,2
261,transpose of Matrix,114,2
262,Matrix triangular,155,2
263,Matrix unitary,"163, 303",2
264,Matrix upper-triangular,27,2
265,Matrix Vandermonde,125,2
266,Matrix zero,12,2
267,Minimal polynomial,191,1
268,Module,164,1
269,basis for Module,164,2
270,dual Module,165,2
271,finitely generated Module,165,2
272,free Module,164,2
273,rank of Module,165,2
274,Monic polynomial,120,1
275,M ultilinear function (form),166,1
276,degree of M ultilinear function (form),166,2
277,Multiplicity,130,1
278,n-linear function,142,1
279,alternating n-linear function,"144, 169",2
280,n-tuple,29,1
281,Nilpotent matrix,244,2
282,Nilpotent operator,222,2
283,Non-degenerate bilinear form,365,2
284,Non-degenerate form,324,2
285,Non-negative form,325,2
286,Non-negative operator,"329, 341",2
287,Non-singular linear transformation,79,2
288,Norm,273,1
289,Normal form,"257, 261",2
